file_urls,type,model,product,product_parent,thumb,url,source,brand,product_lang
https://www.saramonic.com/wp-content/uploads/2021/10/Saramonic-SR-BH40-True-Wireless-Stereo-Earbuds.pdf,User Manual,SR-BH40-B,Games Headphones,Headphones,https://www.saramonic.com/wp-content/uploads/2021/10/SR-BH40-B-True-Wireless-Stereo-Earbuds-5761-369.jpg,https://www.saramonic.com/product/sr-bh40-b/,saramonic.com,Saramonic,en
http://www.saramonic.com/wp-content/uploads/2019/01/Saramonic-SR-BH60-User-Manual.pdf,User Manual,GamesMonic SR-BH60-B,Games Headphones,Headphones,http://www.saramonic.com/wp-content/uploads/2020/09/576-369-1.jpg,https://www.saramonic.com/product/sr-bh60-b/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2021/10/SR-HC5-Microphone-Boom-Arm.pdf,Manual,SR-HC5,Accessories,Pro Audio,https://www.saramonic.com/wp-content/uploads/2021/08/SR-HC5-Microphone-Boom-Arm-576-369.jpg,https://www.saramonic.com/product/sr-hc5/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2021/10/SR-RF5M-Microphone-Isolation-Shield.pdf,Manual,SR-RF5M,Accessories,Pro Audio,https://www.saramonic.com/wp-content/uploads/2021/08/Saramonic-SR-RF5M-microphone-isolation-shield576-369.jpg,https://www.saramonic.com/product/sr-rf5m/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2022/05/Witalk-WT5D.pdf,Manual,WiTalk WT5D,Wireless Intercom,Pro Audio,https://www.saramonic.com/wp-content/uploads/2022/05/saramonic_WiTalk-WT5D_Full-Duplex-Wireless-Intercom-Headset-System_576×369.jpg,https://www.saramonic.com/product/witalk-wt5d/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2022/07/MV-Mixer.pdf,Manual,MV-Mixer,Audio Mixers & Adapters,Pro Audio,https://www.saramonic.com/wp-content/uploads/2022/07/saramonic_MV-Mixer_Dual-Channel-Audio-lnterface_576×369.jpg,https://www.saramonic.com/product/mv-mixer/,saramonic.com,Saramonic,en
http://www.saramonic.com/wp-content/uploads/2019/01/Saramonic-SmartMic-MTV500.pdf,Manual,SmartMic MTV500,Studio Microphone,Pro Audio,http://www.saramonic.com/wp-content/uploads/2020/08/576-369-1.jpg,https://www.saramonic.com/product/smartmic-mtv500/,saramonic.com,Saramonic,en
http://www.saramonic.com/wp-content/uploads/2019/01/SR-MV7000-manual.pdf,Manual,SR-MV7000,Studio Microphone,Pro Audio,http://www.saramonic.com/wp-content/uploads/2020/07/576-369-1-1.jpg,https://www.saramonic.com/product/sr-mv7000/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2022/03/SR-MV2000W.pdf,Manual,SR-MV2000W,Studio Microphone,Pro Audio,https://www.saramonic.com/wp-content/uploads/2022/03/saramonic_SR-MV2000W_USB-Multicolor-Microphone_576×369-1.jpg,https://www.saramonic.com/product/sr-mv2000w/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2022/03/Xmic-Z4.pdf,Manual,Xmic Z4,Studio Microphone,Pro Audio,https://www.saramonic.com/wp-content/uploads/2022/03/saramonic_Xmic-Z4_USB-Condenser-Microphone_576×369.jpg,https://www.saramonic.com/product/xmic-z4/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2022/04/Saramonic-Xmic-Z3.pdf,Manual,Xmic-Z3,Studio Microphone,Pro Audio,https://www.saramonic.com/wp-content/uploads/2022/04/saramonic_Xmic-Z3_USB-Condenser-Microphone_576×369.jpg,https://www.saramonic.com/product/xmic-z3/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2022/04/Xmic-Z5.pdf,Manual,Xmic Z5,Studio Microphone,Pro Audio,https://www.saramonic.com/wp-content/uploads/2022/04/saramonic_Xmic-Z5_USB-Condenser-Microphone_576×369.jpg,https://www.saramonic.com/product/xmic-z5/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2021/11/Saramonic-SR-VRMIC-3D-Microphone.pdf,Manual,SR-VRMIC,Studio Microphone,Pro Audio,https://www.saramonic.com/wp-content/uploads/2021/11/saramonic_VRMIC_576×369_3D-Microphone.jpg,https://www.saramonic.com/product/sr-vrmic/,saramonic.com,Saramonic,en
http://www.saramonic.com/wp-content/uploads/2016/03/SR-MLP4-Manual.pdf,Manual,SR-MLP4,Recorder & Accessories,Pro Audio,http://www.saramonic.com/wp-content/uploads/2020/04/576-369-5-5.jpg,https://www.saramonic.com/product/sr-mlp4/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2021/10/SR-BV1-Dynamic-Broadcasting-Microphone.pdf,User Manual,SR-BV1,Studio Microphone,Pro Audio,https://www.saramonic.com/wp-content/uploads/2021/08/SR-BV1-cardioid-dynamic-microphone-576-369.jpg,https://www.saramonic.com/product/sr-bv1/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2022/06/SR-BV4.pdf,Manual,SR-BV4,Studio Microphone,Pro Audio,https://www.saramonic.com/wp-content/uploads/2022/06/saramonic_SR-BV4_Large-Diaphragm-CondenserMicrophone_576×369.jpg,https://www.saramonic.com/product/sr-bv4/,saramonic.com,Saramonic,en
http://www.saramonic.com/wp-content/uploads/2016/03/SR-AX101-User-Manual.pdf,Manual,SR-AX101,Audio Mixers & Adapters,Pro Audio,http://www.saramonic.com/wp-content/uploads/2016/03/20150209152825494.jpg,https://www.saramonic.com/product/dslr-audio-adapter-sr-ax101/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2022/03/MixMic.pdf,Manual,MixMic,Audio Mixers & Adapters,Pro Audio,http://www.saramonic.com/wp-content/uploads/2018/03/1-1.jpg,https://www.saramonic.com/product/mixmic/,saramonic.com,Saramonic,en
http://www.saramonic.com/wp-content/uploads/2016/03/SR-AX107-User-Manual.pdf,User Manual,SR-AX107 ,Audio Mixers & Adapters,Pro Audio,http://www.saramonic.com/wp-content/uploads/2016/03/20150209145202930.jpg,https://www.saramonic.com/product/dslr-audio-adapter-sr-ax107/,saramonic.com,Saramonic,en
http://www.saramonic.com/wp-content/uploads/2019/01/SR-PAX1-User-Manual.pdf,Manual,SR-PAX1,Audio Mixers & Adapters,Pro Audio,http://www.saramonic.com/wp-content/uploads/2018/03/1-2.jpg,https://www.saramonic.com/product/13205/,saramonic.com,Saramonic,en
http://www.saramonic.com/wp-content/uploads/2016/03/SR-AX100-User-Manual.pdf,Manual,SR-AX100,Audio Mixers & Adapters,Pro Audio,http://www.saramonic.com/wp-content/uploads/2016/03/20150209152726321.jpg,https://www.saramonic.com/product/dslr-audio-adapter-sr-ax100/,saramonic.com,Saramonic,en
http://www.saramonic.com/wp-content/uploads/2019/01/Saramonic-Smart-V2M-Manual.pdf,Manual,Saramonic Smart V2M,Audio Mixers & Adapters,Pro Audio,http://www.saramonic.com/wp-content/uploads/2019/01/576.jpg,https://www.saramonic.com/product/smartv2m/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2022/05/SmartMixer-4C.pdf,Manual,SmartMixer 4C,Audio Mixers & Adapters,Pro Audio,https://www.saramonic.com/wp-content/uploads/2022/05/saramonic_SmartMixer-4C_4-channel-Microphone-Mixer-With-Phantom-Power_576×369.jpg,https://www.saramonic.com/product/smartmixer-4c/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2021/10/SR-R1-Miniature-Handy-Recorder-with-Lavalier-Microphone.pdf,Manual,SR-R1,Recorder & Accessories,Pro Audio,https://www.saramonic.com/wp-content/uploads/2021/09/SR-R1-Miniature-Handy-Recorder-with-Lavalier-Microphone-576-369.jpg,https://www.saramonic.com/product/sr-r1/,saramonic.com,Saramonic,en
http://www.saramonic.com/wp-content/uploads/2016/03/CaMixer.pdf,Manual,Saramonic CaMixer,Audio Mixers & Adapters,Pro Audio,http://www.saramonic.com/wp-content/uploads/2018/03/2.jpg,https://www.saramonic.com/product/camixer/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2022/03/SR-EA5.pdf,Manual,SR-EA5,PC & GoPro Microphones,Pro Audio,https://www.saramonic.com/wp-content/uploads/2022/03/saramonic_SR-EA5_Denoise-Sound-Card_576×369.jpg,https://www.saramonic.com/product/sr-ea5/,saramonic.com,Saramonic,en
http://www.saramonic.com/wp-content/uploads/2016/03/SmartRig-user-manual.pdf,Manual,SmartRig+,Smartphone Audio Interfaces,Pro Audio,http://www.saramonic.com/wp-content/uploads/2018/03/A-1.jpg,https://www.saramonic.com/product/smartrig-2/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2021/10/SR-MV58-Cardioid-Dynamic-Vocal-Microphone.pdf,Manual,SR-MV58,Dynamic Microphones,Pro Audio,https://www.saramonic.com/wp-content/uploads/2021/08/Saramonic-SR-MV58-cardioid-dynamic-vocal-handheld-microphone-576-369.jpg,https://www.saramonic.com/product/sr-mv58/,saramonic.com,Saramonic,en
http://www.saramonic.com/wp-content/uploads/2016/03/SR-HM7-User-Manual.pdf,Manual,SR-HM7,Dynamic Microphones,Pro Audio,http://www.saramonic.com/wp-content/uploads/2018/03/aaa-1.jpg,https://www.saramonic.com/product/sr-hm7/,saramonic.com,Saramonic,en
http://www.saramonic.com/wp-content/uploads/2020/09/SR-NV5X-User-Manual.pdf,User Manual,Saramonic SR-NV5X,Shotgun Microphones,Pro Audio,http://www.saramonic.com/wp-content/uploads/2019/03/576-369-5.jpg,https://www.saramonic.com/product/sr-nv5x/,saramonic.com,Saramonic,en
http://www.saramonic.com/wp-content/uploads/2020/01/Soundbird-T3L-Manual.pdf,Manual,Saramonic Soundbird T3L,Shotgun Microphones,Pro Audio,http://www.saramonic.com/wp-content/uploads/2020/07/2c.jpg,https://www.saramonic.com/product/soundbird-t3l/,saramonic.com,Saramonic,en
http://www.saramonic.com/wp-content/uploads/2021/07/Saramonic-SoundBird-V6.pdf,Manual,SoundBird V6,Shotgun Microphones,Pro Audio,https://www.saramonic.com/wp-content/uploads/2021/07/Saramonic-SoundBird-V6-Super-cardioid-Shotgun-Microphone576-369.jpg,https://www.saramonic.com/product/soundbird-v6/,saramonic.com,Saramonic,en
http://www.saramonic.com/wp-content/uploads/2019/01/Saramonic-VGM-manual.pdf,Manual,VGM,Smartphone Audio Interfaces,Pro Audio,http://www.saramonic.com/wp-content/uploads/2020/07/ff-1.jpg,https://www.saramonic.com/product/vgm/,saramonic.com,Saramonic,en
http://www.saramonic.com/wp-content/uploads/2019/01/Saramonic-SmartMic-Smartphone-Video-Kit.pdf,Manual,SmartMic MTV,Smartphone Audio Interfaces,Pro Audio,http://www.saramonic.com/wp-content/uploads/2020/07/576-369-1-5.jpg,https://www.saramonic.com/product/smartmic-mtv/,saramonic.com,Saramonic,en
http://www.saramonic.com/wp-content/uploads/2019/01/Vmic-PRO-Mark-II-manual.pdf,Manual,SaramonicVmic Pro Mark II,On-camera Microphones,Pro Audio,http://www.saramonic.com/wp-content/uploads/2019/11/ll-1.jpg,https://www.saramonic.com/product/vmic-pro-mark-ii/,saramonic.com,Saramonic,en
http://www.saramonic.com/wp-content/uploads/2019/01/Vmic-Stereo-Mark-II-manual.pdf,Manual,SaramonicVmic Stereo Mark II,On-camera Microphones,Pro Audio,http://www.saramonic.com/wp-content/uploads/2019/11/gg-1.jpg,https://www.saramonic.com/product/vmic-stereo-mark-ii/,saramonic.com,Saramonic,en
http://www.saramonic.com/wp-content/uploads/2019/01/Vmic-Mark-II-manual.pdf,Manual,Saramonic Vmic Mark II,On-camera Microphones,Pro Audio,http://www.saramonic.com/wp-content/uploads/2019/11/hh-1.jpg,https://www.saramonic.com/product/vmic-mark-ii/,saramonic.com,Saramonic,en
http://www.saramonic.com/wp-content/uploads/2016/03/Vmic-Pro-User-Manual.pdf,User Manual,Saramonic Vmic Pro,On-camera Microphones,Pro Audio,http://www.saramonic.com/wp-content/uploads/2018/03/1-26.jpg,https://www.saramonic.com/product/vmic-pro/,saramonic.com,Saramonic,en
http://www.saramonic.com/wp-content/uploads/2021/07/Saramonic-Vmic5-Pro-Super-cardioid-ShotgunMicrophone.pdf,Manual,Saramonic Vmic5 Pro,On-camera Microphones,Pro Audio,https://www.saramonic.com/wp-content/uploads/2021/07/576-369.jpg,https://www.saramonic.com/product/saramonic-vmic5-pro/,saramonic.com,Saramonic,en
http://www.saramonic.com/wp-content/uploads/2021/07/Saramonic-Vmic5-Super-cardioid-Shotgun-Microphone.pdf,Manual,Saramonic Vmic5,On-camera Microphones,Pro Audio,https://www.saramonic.com/wp-content/uploads/2021/07/576-369-1.jpg,https://www.saramonic.com/product/saramonic-vmic5/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2021/11/Saramonic-Vmic-Mini-S-Multi-Pattern-Condenser-Microphone.pdf,Manual,Vmic Mini S,On-camera Microphones,Pro Audio,https://www.saramonic.com/wp-content/uploads/2021/11/saramonic_Vmic-minis_Condenser-Microphone_576×369.jpg,https://www.saramonic.com/product/vmic-mini-s/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2021/11/Vmic4-Dual-capsule-Directional-Condenser-Microphone.pdf,Manual,Vmic4,On-camera Microphones,Pro Audio,https://www.saramonic.com/wp-content/uploads/2021/11/saramonic_Vmic4_camera-microphone_576×369.jpg,https://www.saramonic.com/product/sr-vmic4/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2022/05/Vmic-Mini-II.pdf,Manual,Vmic Mini II,On-camera Microphones,Pro Audio,https://www.saramonic.com/wp-content/uploads/2022/05/saramonic_Vmic-mini-Ⅱ_Unidirectional-Condenser-Microphone_576×369.jpg,https://www.saramonic.com/product/vmic-mini-ii/,saramonic.com,Saramonic,en
http://www.saramonic.com/wp-content/uploads/2019/01/SPMIC510-UC-Manual.pdf,User Manual,SPMIC510 UC,Plug & Play Microphones,Pro Audio,http://www.saramonic.com/wp-content/uploads/2019/11/576-369-5-1.jpg,https://www.saramonic.com/product/spmic510-uc/,saramonic.com,Saramonic,en
http://www.saramonic.com/wp-content/uploads/2019/01/SPMIC510-Di-Manual.pdf,User Manual,SPMIC510 Di,Plug & Play Microphones,Pro Audio,http://www.saramonic.com/wp-content/uploads/2019/11/539.jpg,https://www.saramonic.com/product/spmic510-di/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2021/10/SmartMic-MTV11-UC-Digital-Stereo-Condenser-Microphone.pdf,Manual,SmartMic MTV11 UC,Plug & Play Microphones,Pro Audio,https://www.saramonic.com/wp-content/uploads/2021/08/SmartMic-MTV11-UC-Digital-Stereo-Condenser-Microphone-576-369.jpg,https://www.saramonic.com/product/smartmic-mtv11-uc/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2021/10/SmartMic-MTV11-Di-Digital-Stereo-Condenser-Microphone.pdf,Manual,SmartMic MTV11 Di,Plug & Play Microphones,Pro Audio,https://www.saramonic.com/wp-content/uploads/2021/08/SmartMic-MTV11-Di-Digital-Stereo-Condenser-Microphone-576-369.jpg,https://www.saramonic.com/product/smartmic-mtv11-di/,saramonic.com,Saramonic,en
http://www.saramonic.com/wp-content/uploads/2016/03/Vmic-User-Manual.pdf,Manual,Saramonic Vmic,On-camera Microphones,Pro Audio,http://www.saramonic.com/wp-content/uploads/2018/03/1-25.jpg,https://www.saramonic.com/product/vmic-2/,saramonic.com,Saramonic,en
http://www.saramonic.com/wp-content/uploads/2019/01/Blink500-Pro-wireless-microphone-manual.pdf,Manual,Blink500 Pro B2(TX+TX+RX),Wireless Microphone,Pro Audio,http://www.saramonic.com/wp-content/uploads/2020/09/Saramonic-Blink500-Pro-B2-Wireless-Microphone-System-576-440.jpg,https://www.saramonic.com/product/blink500-pro-b2txtxrx/,saramonic.com,Saramonic,en
http://www.saramonic.com/wp-content/uploads/2021/05//Blink800-Wireless-Microphone-System-manual.pdf,Manual,Blink800 B3(TX-635+RX-635),Wireless Microphone,Pro Audio,https://www.saramonic.com/wp-content/uploads/2021/01/576-369-2.jpg,https://www.saramonic.com/product/blink800-b3tx-635rx-635/,saramonic.com,Saramonic,en
http://www.saramonic.com/wp-content/uploads/2019/01/Saramonic-UwMic9S-Manual.pdf,Manual,UwMic9S Kit1(TX+RX),Wireless Microphone,Pro Audio,http://www.saramonic.com/wp-content/uploads/2021/01/Saramonic-UwMic9s-k1-Wireless-Microphone-System.jpg,https://www.saramonic.com/product/uwmic9s-k1/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2021/10/SR-WM2100-wireless-lavalier-microphone-system.pdf,Manual,SR-WM2100 X,Wireless Microphone,Pro Audio,https://www.saramonic.com/wp-content/uploads/2021/09/SR-WM2100-X-wireless-lavalier-microphone-system-576-369-1.jpg,https://www.saramonic.com/product/sr-wm2100-x/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2021/11/Saramonic-Vlink2-Wireless-Microphone-manual.pdf,Manual,Vlink2 Kit2 (TX+TX+RX),Wireless Microphone,Pro Audio,https://www.saramonic.com/wp-content/uploads/2021/11/saramonic_Vlink2_Wireless-Microphone-System_576×369.jpg,https://www.saramonic.com/product/vlink2-kit2-txtxrx/,saramonic.com,Saramonic,en
http://www.saramonic.com/wp-content/uploads/2016/03/SR-VM4-Manual.pdf,Manual,SR-VM4,On-camera Microphones,Pro Audio,http://www.saramonic.com/wp-content/uploads/2020/04/aa-1.jpg,https://www.saramonic.com/product/sr-vm4/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2022/03/BTW.pdf,Manual,BTW,Wireless Microphone,Pro Audio,https://www.saramonic.com/wp-content/uploads/2022/02/saramonic_BTW_wireless-lavalier-microphone_576×369-1.jpg,https://www.saramonic.com/product/sr-btw/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2022/06/Blink900.pdf,Manual,Blink900 B2 TG,Wireless Microphone,Pro Audio,https://www.saramonic.com/wp-content/uploads/2022/06/saramonic_Blink900-B2TG_Wireless-Microphone-System_576×369.jpg,https://www.saramonic.com/product/blink900-b2-tg/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2021/12/Blink900.pdf,Manual,Blink900 B2,Wireless Microphone,Pro Audio,https://www.saramonic.com/wp-content/uploads/2022/01/saramonic_Blink900_Wireless-Microphone-System1576-369.jpg,https://www.saramonic.com/product/blink900-b2/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2022/03/SR-UwMic9S-mini.pdf,Manual,UwMic9S Kit2 Mini,Wireless Microphone,Pro Audio,https://www.saramonic.com/wp-content/uploads/2022/03/Saramonic_UwMic9s-Mini-Kit2_wirelss-microphone_576×369.jpg,https://www.saramonic.com/product/sr-uwmic9s-mini-kit2/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2022/07/Blink500-Pro-B8.pdf,Manual,Blink500 Pro B8,Wireless Microphone,Pro Audio,https://www.saramonic.com/wp-content/uploads/2022/07/saramonic_Blink500-PRO-B8_Wireless-Microphone-System_576×369.jpg,https://www.saramonic.com/product/blink500-pro-b8/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2022/06/Blink-Go.pdf,Manual,Blink Go-U2 Kit,Wireless Microphone,Pro Audio,https://www.saramonic.com/wp-content/uploads/2022/06/saramonic_Blink-Go-U2-Kit_Wireless-Microphone-System_576×369.jpg,https://www.saramonic.com/product/blink-go-u2-kit/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2022/07/Saramonic-Blink100.pdf,Manual,Blink100 B6,Wireless Microphone,Pro Audio,https://www.saramonic.com/wp-content/uploads/2022/08/saramonic_Blink100-B6_Wireless-Microphone-System_576×369.jpg,https://www.saramonic.com/product/blink100-b6/,saramonic.com,Saramonic,en
https://www.saramonic.com/wp-content/uploads/2021/11/SR-BH5-Noise-Cancelling-Wireless-Sport-Headphones-manual.pdf,Manual,SR-BH5,Noise-Cancelling Headphones,Headphones,https://www.saramonic.com/wp-content/uploads/2021/11/saramonic_SR-BH5_Sports-Headphone_576×369.jpg,https://www.saramonic.com/product/sr-bh5/,saramonic.com,Saramonic,en
